"year","unit_id","county_cn","co2_million_tons","gdp_100m_yuan","primary_industry_100m_yuan","secondary_industry_100m_yuan","tertiary_industry_100m_yuan","industry_100m_yuan","construction_100m_yuan","resident_population_10k","urban_population_10k","rural_population_10k","fixed_asset_investment_100m_yuan","real_estate_development_100m_yuan","budget_revenue_10k_yuan","vat_10k_yuan","enterprise_income_tax_10k_yuan","individual_income_tax_10k_yuan","budget_expenditure_10k_yuan","general_public_service_exp_10k_yuan","education_exp_10k_yuan","science_technology_exp_10k_yuan","agri_forestry_water_exp_10k_yuan","retail_sales_100m_yuan","fixed_asset_investment_growth_pct","real_estate_development_growth_pct","industrial_va_growth_pct","light_industry_growth_pct","heavy_industry_growth_pct","retail_sales_growth_pct","per_capita_gdp_yuan","urbanization_rate_pct","co2_ton_per_10000_yuan","secondary_industry_share","tertiary_industry_share","industry_share","budget_revenue_gdp_ratio","budget_expenditure_gdp_ratio","co2_per_capita_ton","retail_per_capita_yuan"
"2016","350122","连江县","2.73700952260463","387.8","138.98","149.75","99.07","132.23","18.15","58.2","26.13","32.07","474.25","391.58","286431","42940","36769","50273","546823","39075","140364","4877","72916","1305959","-8.6","-9.1",,,,"16.5","66632.3024054983","44.8969072164948","0.705778628830487","0.386152656008252","0.255466735430634","0.340974729241877","0.0738604951005673","0.14100644662197","4.7027655027571","224391580.756014"
"2017","350122","连江县","3.12993823676237","430.36","127.19","186.44","116.73","166.67","20.35","58.8","27.11","31.69","441.96","377.1","315343","75045","19","37251","653191","50110","150805","4258","101286","1565511","-6.8","-3.7","7.2","8.4","6","14.5","73190.4761904762","46.1054421768707","0.727283724500969","0.433218700622734","0.271238033274468","0.387280416395576","0.0732742355237476","0.151777813923227","5.3230242121809","266243367.346939"
"2018","350122","连江县","3.14972681727178","469.48","135.87","203.92","129.69","177.08","27.44","59.3","27.93","31.37",,,"319304","90087","5","29290","706392","62613","155150","5428","94329","1784850",,,"9.1","5.1","19.6","13.5","79170.3204047218","47.0994940978078","0.670896910895412","0.434352901082048","0.276241799437676","0.377183266592826","0.0680122688932436","0.15046263951606","5.31151233941278","300986509.274874"
"2019","350122","连江县","3.42847167895192","591.56","137.64","249.05","204.87","190.04","70.83","60","28.8","31.2",,,"334057","121063","27916","18444","714604","119069","162617","6488","90412","1296801",,,"8.3","4.5","16.8","12.5","98593.3333333333","48","0.579564486941632","0.421005477043749","0.346321590371222","0.321252282101562","0.0564705186287105","0.120799918858611","5.71411946491987","216133500"
"2020","350122","连江县","3.43581838730892","594.85","147.07","221.8","225.98","164.99","69.8","64.1","32.47","31.63",,,"347596","112871","31783","37287","787115","57956","164616","7446","92069","1273625",,,"-9.5","-6.6","-13.5","-1.8","92800.3120124805","50.6552262090484","0.577594080408325","0.3728671093553","0.379894090947298","0.277364041354963","0.0584342271160797","0.132321593679079","5.36009108784543","198693447.73791"
"2021","350122","连江县","3.75832060246848","671.44","173.41","252.95","245.08","184.1","79.57","64.6","32.88","31.72","479.66","77.86","365767","127410","29608","51791","760708","48127","167746","14892","73930","178.06","11.2","-5.4","9.1","-1.6","16","7.7","103938.080495356","50.8978328173375","0.55974034946808","0.376727630167997","0.365006553079948","0.27418682235196","0.0544750089360181","0.113295007744549","5.81783374995121","27563.4674922601"
"2013","350123","罗源县","2.83944058444307","162.49","28.34","110.8","105.17","5.63","23.35","20.5","8.1","12.4","141.15","72.38",,,,,,,,,,"369578","22.2","10.8",,,,"15","79263.4146341463","39.5121951219512","1.74745558769344","0.681888116191766","0.647239830143393","0.0346482860483722",,,"13.8509296802101","180281951.219512"
"2014","350123","罗源县","3.0599131536477","172.67","30.61","114.05","28.01","107.91","6.38","20.8","8.84","11.96","158.06","75.81",,,,,,,,,,"427259","12","4.7",,,,"15.6","83014.4230769231","42.5","1.77211626434685","0.660508484392193","0.16221694561881","0.6249493253026",,,"14.7111209309986","205412980.769231"
"2015","350123","罗源县","3.06980881691312","181.05","33.68","112.02","35.35","105.39","6.87","20.9","9.07","11.83","137.34","90.78","108899","10366","41077","9393","201685","18900","36301","1742","33318","452234","-13.1","19.7","62.24","3.91","58.33","7.4","86626.7942583732","43.3971291866029","1.69555858432097","0.618724109362055","0.195249930958299","0.582104391052195","0.0601485777409555","0.111397404032035","14.6880804636991","216379904.30622"
"2016","350123","罗源县","3.0075113139615","195.54","38.81","117.56","39.18","110.46","7.36","20.9","9.25","11.65","137.82","130.65","88763","23361","11605","12623","254358","22004","34097","1490","42267","491690","0.4","43.9",,,,"8.9","93559.8086124402","44.2583732057416","1.53805426713793","0.601206914186356","0.200368211107702","0.564897207732433","0.0453937813235144","0.130079779073335","14.3900062868971","235258373.205742"
"2017","350123","罗源县","3.09811326124407","224.22","40.11","134.62","49.49","126.6","8.37","21.1","9.6","11.5","167.64","158.65","127210","56821","176","11823","317661","27414","39608","837","72353","583209","21.6","21.4","7.8","10.7","7","12.5","106265.402843602","45.4976303317536","1.38172922185535","0.6003924716796","0.220720720720721","0.564624029970565","0.0567344572295067","0.141673802515387","14.6830012381236","276402369.668246"
"2018","350123","罗源县","3.19679734210596","242.82","43.99","143.34","55.49","134.23","9.48","21.2","10.07","11.13",,,"149474","65330","-65","23613","303730","32664","45011","2153","63736","560479",,,"9.1","14.4","8.4","12.6","114537.735849057","47.5","1.31652966893417","0.590313812700766","0.22852318589902","0.552796310023886","0.0615575323284738","0.125084424676715","15.0792327457828","264376886.792453"
"2019","350123","罗源县","3.39955453201918","303.4","46.18","170.28","86.94","151.31","19.22","22","10.82","11.18",,,"112775","35058","24358","2798","323621","34110","50746","2475","66373","488660",,,"8.8","-2.5","10.1","13.8","137909.090909091","49.1818181818182","1.1204860026431","0.561239288068556","0.286552406064601","0.498714568226763","0.0371704021094265","0.106664798945287","15.4525206000872","222118181.818182"
"2020","350123","罗源县","3.40864814497292","316.61","49.02","171.63","95.96","151.58","20.33","25.6","18.32","7.28",,,"96769","23743","17514","3968","281661","31969","51017","2196","57038","513063",,,"7.6","8.5","-2.5","5","123675.78125","71.5625","1.07660785981899","0.542086478633019","0.303085815356432","0.478759356937557","0.0305641009443795","0.0889614983733931","13.3150318163005","200415234.375"
"2021","350123","罗源县","3.72388989644076","359.06","55.06","184.25","119.74","157.5","27","25.9","18.57","7.33","217.97","16.59","118489","40521","16200","11645","250678","39917","57856","3284","27594","62.82","21.2","-17.9","7.6","14.3","6.9","17.8","138633.204633205","71.6988416988417","1.03712190064077","0.513145435303292","0.333481869325461","0.438645351751796","0.0329997771960118","0.0698150726898011","14.377953268111","24254.8262548263"
"2013","350124","闽清县","2.86405087811531","117.02","20.77","67.37","57.09","10.28","28.88","23.3","8.5","14.8","38.88","32.33",,,,,,,,,,"355976","26.9","39.4",,,,"15","50223.1759656652","36.480686695279","2.44748835935337","0.575713553238763","0.487865322167151","0.0878482310716117",,,"12.2920638545721","152779399.141631"
"2014","350124","闽清县","3.12054811460889","130.35","23.07","74.16","33.12","62.56","11.66","23.6","8.85","14.75","49.4","35.52",,,,,,,,,,"411655","27.1","9.9",,,,"15.6","55233.0508474576","37.5","2.39397630579892","0.568929804372842","0.254085155350978","0.47993862677407",,,"13.22266150258","174430084.745763"
"2015","350124","闽清县","3.08620430275736","141.2","25.49","77.9","37.8","65.39","12.58","23.8","9.11","14.69","62","42.85","81119","11809","17185","12163","219885","15901","48170","2262","31824","437346","25.5","20.6","54.29","8.35","45.94","12.6","59327.731092437","38.2773109243697","2.18569709827009","0.551699716713881","0.267705382436261","0.463101983002833","0.057449716713881","0.155725920679887","12.9672449695687","183758823.529412"
"2016","350124","闽清县","3.06852680439457","148.16","27.68","78.49","41.99","64.84","13.72","23.8","9.33","14.47","77.61","60.34","88080","29571","7514","12014","286980","19147","50640","622","44758","457992","25.2","40.8",,,,"3.4","62252.1008403361","39.2016806722689","2.07108990577387","0.529765118790497","0.283409827213823","0.437634989200864","0.0594492440604752","0.193696004319654","12.8929697663637","192433613.445378"
"2017","350124","闽清县","3.18252873113075","166.23","28.26","75.68","62.29","60.17","15.6","24","9.7","14.3","91.97","73.78","96860","44314","85","11929","351524","21271","55504","889","58197","512390","18.5","22.3","7.3","9.5","6.6","12.4","69262.5","40.4166666666667","1.91453331596628","0.45527281477471","0.374721771040125","0.36196835709559","0.0582686638994165","0.21146844733201","13.2605363797115","213495833.333333"
"2018","350124","闽清县","3.22764516549604","226.33","32.4","115.17","78.77","63.53","51.95","24","9.72","14.28",,,"186888","117943","-2","14852","264849","23358","55975","2597","41668","651724",,,"8.4","6.2","8.7","12.4","94304.1666666667","40.5","1.42607924954537","0.508858746078735","0.348031635222905","0.280696328370079","0.0825732337736933","0.117018954623779","13.4485215229002","271551666.666667"
"2019","350124","闽清县","3.41825457672306","329.17","34.31","180.78","114.07","79.38","103.84","24.5","10.05","14.45",,,"157736","100605","14958","4625","322649","25775","61921","2793","44179","439114",,,"8.8","15.3","7.9","13.8","134355.102040816","41.0204081632653","1.03844657068477","0.549199501777197","0.346538262903667","0.241151988334295","0.0479193122094966","0.098018956770058","13.9520594968288","179230204.081633"
"2020","350124","闽清县","3.41908806358694","344.88","36.19","184.9","123.79","74.53","112.92","25.7","11.26","14.44",,,"160106","93413","14051","9492","351683","28100","65668","1208","45203","454980",,,"5.3","1.9","25.3","3.6","134194.552529183","43.8132295719844","0.991384847943325","0.536128508466713","0.358936441660868","0.21610415216887","0.0464236836000928","0.101972570169334","13.3038446053967","177035019.455253"
"2021","350124","闽清县","3.74216890848745","389.78","38.77","217.56","133.45","88.87","131.42","25.9","11.42","14.48","137.99","45.18","184629","123673","16109","3839","352892","31674","66386","1365","56708","51.19","13","105.2","7.5","20.7","4.9","12.5","150494.208494208","44.0926640926641","0.960072068471305","0.55816101390528","0.342372620452563","0.228000410487968","0.0473674893529683","0.0905361999076402","14.4485286041986","19764.4787644788"
"2013","350125","永泰县","2.85606581941934","108.71","35.44","41.01","10.86","30.15","32.26","24.7","9.2","15.51","62.46","43.91",,,,,,,,,,"383275","0.2","-18.1",,,,"16.1","44012.1457489879","37.246963562753","2.6272337590096","0.377242204029068","0.0998988133566369","0.277343390672431",,,"11.5630195118192","155172064.777328"
"2014","350125","永泰县","3.06705223956449","123.78","39.61","46.27","37.9","12.1","34.18","25","9.63","15.37","77.95","26.4",,,,,,,,,,"442705","24.8","-39.9",,,,"15.5","49512","38.52","2.47782536723581","0.373808369688156","0.306188398772015","0.0977540798190338",,,"12.268208958258","177082000"
"2015","350125","永泰县","3.06249125050108","130.92","39.6","49.49","41.83","12.72","36.77","25.2","9.88","15.32","79.97","34.09","74827","4243","22282","9612","242065","14590","48809","493","49347","484242","2.6","29.1","12.18","6.85","5.32","15.6","51952.3809523809","39.2063492063492","2.3392081045685","0.378017109685304","0.31950809654751","0.0971585701191568","0.0571547509929728","0.18489535594256","12.152743057544","192159523.809524"
"2016","350125","永泰县","2.96689270145522","143.8","44.26","53.33","46.2","13.59","39.75","25.2","10.1","15.1","89.1","43.31","80100","11918","12666","11116","280117","19424","52500","321","44580","525623","11.4","27.1",,,,"9.7","57063.4920634921","40.0793650793651","2.06320772006622","0.37086230876217","0.321279554937413","0.0945062586926286","0.055702364394993","0.194796244784423","11.7733837359334","208580555.555556"
"2017","350125","永泰县","3.09798292815523","165.86","44.41","66.01","55.44","21.04","44.98","25.4","10.49","14.91","111.63","83.8","91019","25382","-35","12110","314271","24690","56096","8864","60494","601511","25.3","93.5","7.5","7.9","7","14.3","65299.2125984252","41.2992125984252","1.86783005435622","0.397986253466779","0.334257807789702","0.126853973230435","0.0548770047027614","0.189479681659231","12.1967831817135","236815354.330709"
"2018","350125","永泰县","3.17091108709709","184.61","46.46","73.7","64.45","22.17","51.53","25.4","10.61","14.79",,,"110338","35667","259","20501","305629","31282","63756","883","51293","666504",,,"8.4","6.3","11.3","12.1","72681.1023622047","41.7716535433071","1.71762693629657","0.399219977249336","0.349114349168517","0.120091002654244","0.0597681599046639","0.165553870321218","12.4839019177051","262403149.606299"
"2019","350125","永泰县","2.71529877851357","282.62","52.94","134.43","95.25","21.69","112.8","25.5","10.74","14.76",,,"122908","37940","21687","6013","316190","35011","66830","1305","61410","427797",,,"8","10.2","4.8","11.5","110831.37254902","42.1176470588235","0.960759598936229","0.47565635836105","0.33702498053924","0.0767461609227939","0.0434887835255821","0.111878140259005","10.6482305039748","167763529.411765"
"2020","350125","永泰县","2.94763974564603","300.31","56.47","139.92","103.92","22.3","117.7","28.2","12.21","15.99",,,"124619","45253","19463","2605","342520","36663","60680","1273","59391","403260",,,"5.2","2.1","7.2","-5.7","106492.907801418","43.2978723404255","0.981532331805811","0.465918550830808","0.346042422829743","0.0742566015117712","0.0414967866537911","0.114055476008125","10.4526232115107","143000000"
"2021","350125","永泰县","3.13968595637337","339.31","60.51","173.36","105.44","19.74","153.68","28.5","12.48","16.02","142.77","82.63","131833","39980","26536","2561","339029","35943","65916","533","55186","43.07","8.5","23.2","6.5","8.1","3.6","-2.5","119056.140350877","43.7894736842105","0.925314890917854","0.51091921841384","0.310748283280776","0.0581768883911467","0.0388532610297368","0.0999171848751879","11.0164419521873","15112.2807017544"
"2013","350128","平潭县","2.85486839239822","155.39","35.32","48.29","8.44","39.85","71.78","40","16.3","23.7","335.71","286.65",,,,,,,,,,"465319","0.9","-1.5",,,,"7.5","38847.5","40.75","1.83722787334978","0.310766458588069","0.0543149494819486","0.25645150910612",,,"7.13717098099555","116329750"
"2014","350128","平潭县","3.09173096113555","171.24","34.34","55.22","81.68","9.34","45.88","42","17.89","24.11","273.95","207.42",,,,,,,,,,"505347","-18.4","-27.6",,,,"8.6","40771.4285714286","42.5952380952381","1.80549577267902","0.322471385190376","0.476991357159542","0.0545433309974305",,,"7.36126419317988","120320714.285714"
"2015","350128","平潭县","3.10682747827927","189.62","35.95","58.47","95.2","9.05","49.42","43","19.03","23.97","343.2","269.56","195421","13071","62638","21768","920017","39144","61934","3218","72754","557281","25.3","30","8.29","1.15","7.14","9","44097.6744186046","44.2558139534884","1.63844925550009","0.30835354920367","0.502056745069086","0.0477270330133952","0.103059276447632","0.485189853390993","7.22518018204481","129600232.55814"
"2016","350128","平潭县","3.02277724779182","205.76","35.82","59.81","110.13","7.45","52.37","44","20.41","23.59","396.81","296.03","264562","48489","33275","30661","918905","44892","80902","387","28239","592980","15.6","9.8",,,,"4.2","46763.6363636364","46.3863636363636","1.46907914453335","0.290678460342146","0.535235225505443","0.0362072317262831","0.128577954898911","0.446590688180404","6.86994829043596","134768181.818182"
"2017","350128","平潭县","3.16216704275019","226.28","33.72","65.34","127.22","6.64","58.7","45","21.78","23.22","464.82","390.58","296708","59465","82","38910","886147","56366","94555","44813","64934","644603","17.1","31.9","-20.1","-3.9","-21.2","8.9","50284.4444444444","48.4","1.39745759357884","0.288757291850804","0.56222379353014","0.0293441753579636","0.13112427081492","0.391615255435743","7.0270378727782","143245111.111111"
"2018","350128","平潭县","3.21584057018648","254.28","34.55","71.85","147.88","6.9","64.95","46","23.09","22.91",,,"384430","75725","-2","57491","898550","67475","95836","88632","51128","685447",,,"3.9","2.9","4.1","9.7","55278.2608695652","50.195652173913","1.2646848238896","0.282562529495045","0.581563630643385","0.0271354412458707","0.151183734465943","0.35337030045619","6.99095776127496","149010217.391304"
"2019","350128","平潭县","3.47897045501529","282.85","35.9","80.64","166.31","7.65","73.18","46","23.69","22.31",,,"455138","121520","48395","32357","953051","80476","102355","92130","57081","659147",,,"3.1","-51.2","16.8","4.7","61489.1304347826","51.5","1.22997010960413","0.285098108538094","0.587979494431678","0.0270461375287255","0.160911437157504","0.336945730952802","7.56297925003324","143292826.086957"
"2020","350128","平潭县","3.47111136071461","301.43","36.03","84.44","180.96","6.56","78.04","39","20.96","18.04",,,"546036","116505","57124","99640","960534","88640","89581","214246","32294","588158",,,"-23.8","-30.2","-23.2","-10.8","77289.7435897436","53.7435897435898","1.15154807441682","0.280131373784958","0.600338387021862","0.0217629300335069","0.181148525362439","0.318659058487874","8.90028554029387","150809743.589744"
"2021","350128","平潭县","3.72975960581244","339.2","40.3","81.45","217.45","11.36","70.32","39","22.07","16.93","211.19","103.98","549251","145639","74206","147804","853167","83109","114991","215341","33578","60.72","-16.5","-5.4","12.1","-20.5","13.5","3.3","86974.358974359","56.5897435897436","1.09957535548716","0.240123820754717","0.641067216981132","0.0334905660377358","0.161925412735849","0.25152329009434","9.56348616874985","15569.2307692308"
"2013","350181","福清市","2.9044546560447","667.82","88.22","341.58","275.07","66.51","238.02","126.2","56.8","69.41","549.41","454.28",,,,,,,,,,"2513462","19.2","14.2",,,,"16.3","52917.5911251981","45.0079239302694","0.434915794082942","0.511485130723848","0.411892426102842","0.0995927046210057",,,"2.3014696165172","199164976.228209"
"2014","350181","福清市","3.14158138808532","728.68","88.27","377.57","262.84","302.65","74.93","127.5","60.31","67.19","642.93","535.45",,,,,,,,,,"2927484","17","17.9",,,,"16.5","57151.3725490196","47.3019607843137","0.431133198123363","0.518156117911841","0.360707031893286","0.415340066970412",,,"2.46398540241986","229606588.235294"
"2015","350181","福清市","3.13035310487535","783.27","90.95","394.19","298.13","313.3","80.89","128.6","62.31","66.29","765.48","658.73","519517","58021","78624","73228","704805","51594","209465","10933","56856","3316737","19.1","23","311.94","136.91","175.04","16.9","60907.4650077761","48.452566096423","0.399651857581083","0.50326196586107","0.380622263076589","0.399989786408263","0.0663266817317145","0.0899823815542533","2.43417815309125","257911119.751166"
"2016","350181","福清市","2.66175172996889","857.85","102.76","421.1","333.99","334.65","86.45","129.3","63.74","65.56","867.52","747.12","566306","111383","44961","60909","791051","64185","200263","11979","61205","3741673","13.3","13.4",,,,"13.5","66345.7076566125","49.2962103634957","0.31028171941119","0.490878358687416","0.389333799615317","0.390103164888967","0.0660145713120009","0.0922132074371976","2.05858602472459","289379195.668987"
"2017","350181","福清市","2.95171735223986","993.41","88.29","508.28","396.84","410.94","97.35","130.5","66.16","64.34","1009.52","845.41","623074","166999","384","86927","880935","84791","207434","13631","80005","4274129","16.4","13.2","11.1","4.5","11.7","14.3","76123.3716475096","50.6973180076628","0.29712982074268","0.511651785264896","0.399472523932717","0.413666059330991","0.0627207296081175","0.0886778872771565","2.26185237719529","327519463.601533"
"2018","350181","福清市","3.15594036820037","1102.14","95.15","543.7","463.29","435.6","108.1","131.6","68.16","63.44",,,"780093","224099","284","106336","1003476","88379","213970","19086","81725","4695317",,,"9","5.3","11.5","11.5","83749.2401215806","51.7933130699088","0.286346595550508","0.493313009236576","0.420354945832653","0.395231095868039","0.0707798464804834","0.091047961239044","2.39813097887566","356787006.079027"
"2019","350181","福清市","3.29585999149467","1150.15","100.55","604.25","445.35","477.77","126.76","133","69.16","63.84",,,"850410","215953","115782","85031","1170408","78607","232567","15442","82179","3079752",,,"8.7","12.6","6.4","10.4","86477.4436090226","52","0.286559143719921","0.525366256575229","0.387210363865583","0.415397991566317","0.0739390514280746","0.101761335477981","2.47809021916892","231560300.75188"
"2020","350181","福清市","3.05078033240921","1228.54","110","619.4","499.15","486.48","133.23","139.4","74.66","64.74",,,"912635","252898","93666","149648","1190642","81266","269253","19001","87086","3180779",,,"8.4","8.2","8.8","3.3","88130.5595408895","53.558106169297","0.248325681899589","0.50417568821528","0.406295277321048","0.395982222801048","0.0742861445292786","0.0969152001562831","2.18850812941837","228176398.852224"
"2021","350181","福清市","3.43304262492256","1414.04","123.52","665.73","624.79","500.6","165.4","141","75.86","65.14","877.37","287.55","1047928","301082","161241","97309","1263551","86202","307131","12390","87732","380.19","15.5","18.7","11.1","2.5","15.9","18.7","100286.524822695","53.8014184397163","0.242782568026545","0.470799977369806","0.44184747249017","0.354021102656219","0.0741087946592741","0.089357514638907","2.43478200349118","26963.829787234"
