"distcode","county_cn","county_en","province_cn","year","month_count","co2_million_tons","co2_10000_tons"
"350430","建宁县","Jianning County","福建省","2021","12","3.48948725984934","348.948725984934"
"350481","永安市","Yong'an City","福建省","2013","12","2.23422467503988","223.422467503988"
"350481","永安市","Yong'an City","福建省","2014","12","2.39810044804679","239.810044804679"
"350481","永安市","Yong'an City","福建省","2015","12","2.38508902135204","238.508902135204"
"350481","永安市","Yong'an City","福建省","2016","12","2.61833266002616","261.833266002616"
"350481","永安市","Yong'an City","福建省","2017","12","2.86010268288781","286.010268288781"
"350481","永安市","Yong'an City","福建省","2018","12","2.96756339332106","296.756339332106"
"350481","永安市","Yong'an City","福建省","2019","12","3.05804555844928","305.804555844928"
"350481","永安市","Yong'an City","福建省","2020","12","3.08636917973366","308.636917973366"
"350481","永安市","Yong'an City","福建省","2021","12","3.36917854147883","336.917854147883"
"350502","鲤城区","Licheng District","福建省","2013","12","2.40029049406217","240.029049406217"
"350502","鲤城区","Licheng District","福建省","2014","12","2.60092322262438","260.092322262438"
"350502","鲤城区","Licheng District","福建省","2015","12","2.60067054779363","260.067054779363"
"350502","鲤城区","Licheng District","福建省","2016","12","2.56254597231023","256.254597231023"
"350502","鲤城区","Licheng District","福建省","2017","12","2.63500238180272","263.500238180272"
"350502","鲤城区","Licheng District","福建省","2018","12","2.72304768150424","272.304768150424"
"350502","鲤城区","Licheng District","福建省","2019","12","2.89544807783231","289.544807783231"
"350502","鲤城区","Licheng District","福建省","2020","12","2.90420761648202","290.420761648202"
"350502","鲤城区","Licheng District","福建省","2021","12","3.17937966136628","317.937966136628"
"350503","丰泽区","Fengze District","福建省","2013","12","2.34993661988254","234.993661988254"
"350503","丰泽区","Fengze District","福建省","2014","12","2.53757671875049","253.757671875049"
"350503","丰泽区","Fengze District","福建省","2015","12","2.63989670077691","263.989670077691"
"350503","丰泽区","Fengze District","福建省","2016","12","2.89128792329344","289.128792329344"
"350503","丰泽区","Fengze District","福建省","2017","12","2.97502705510965","297.502705510965"
"350503","丰泽区","Fengze District","福建省","2018","12","3.38720785139945","338.720785139945"
