"year","county_cn","official_area_cn","source_title","source_url","variable_group","gdp_100m_yuan","primary_industry_100m_yuan","secondary_industry_100m_yuan","tertiary_industry_100m_yuan","industry_100m_yuan","construction_100m_yuan","per_capita_gdp_yuan","resident_population_10k","urban_population_10k","rural_population_10k","urbanization_rate_pct","fixed_asset_investment_100m_yuan","fixed_asset_investment_growth_pct","real_estate_development_100m_yuan","real_estate_development_growth_pct","budget_revenue_10k_yuan","vat_10k_yuan","enterprise_income_tax_10k_yuan","individual_income_tax_10k_yuan","budget_expenditure_10k_yuan","general_public_service_exp_10k_yuan","education_exp_10k_yuan","science_technology_exp_10k_yuan","agri_forestry_water_exp_10k_yuan","industrial_va_growth_pct","light_industry_growth_pct","heavy_industry_growth_pct","retail_sales_100m_yuan","retail_sales_growth_pct"
"2021","仓山区","仓山区","22-9 地方一般公共预算收入（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2209.htm","budget_revenue",,,,,,,,,,,,,,,,"273930","90329","39019","0",,,,,,,,,,
"2021","仓山区","仓山区","22-7 固定资产投资（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2207.htm","fixed_asset_investment",,,,,,,,,,,,"743.52","12.7","549.38","26.5",,,,,,,,,,,,,,
"2021","仓山区","仓山区","22-1 地区生产总值（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2201.htm","gdp","1030.11","1.81","419.27","609.02","323.77","97.17","88841",,,,,,,,,,,,,,,,,,,,,,
"2021","仓山区","仓山区","22-14 规模以上工业增加值增速（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2214.htm","industrial_va_growth",,,,,,,,,,,,,,,,,,,,,,,,,"9.6","9.1","10.8",,
"2021","仓山区","仓山区","22-4 年末常住人口数（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2204.htm","population",,,,,,,,"116.9","116.9","0","100",,,,,,,,,,,,,,,,,,
"2021","仓山区","仓山区","22-19 社会消费品零售总额（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2219.htm","retail_sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,"548.19","9.9"
"2021","城厢区","城厢区","22-10 一般公共预算支出（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2210.htm","budget_expenditure",,,,,,,,,,,,,,,,,,,,"318369","34418","97715","1805","20654",,,,,
"2021","城厢区","城厢区","22-9 地方一般公共预算收入（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2209.htm","budget_revenue",,,,,,,,,,,,,,,,"251258","68917","21762","3895",,,,,,,,,,
"2021","城厢区","城厢区","22-7 固定资产投资（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2207.htm","fixed_asset_investment",,,,,,,,,,,,"286.48","10.2","110.76","17.5",,,,,,,,,,,,,,
"2021","城厢区","城厢区","22-1 地区生产总值（2021年）","https://tjj.fujian.gov.cn/tongjinianjian/dz2022/cn-en/html/2201.htm","gdp","538.76","10.41","200.62","327.72","141.23","59.67","98314",,,,,,,,,,,,,,,,,,,,,,
